Deflection	Force
2,257236004	679,5288696
2,259093046	682,1425171
2,26818037	684,7561646
2,273701906	687,369812
2,281080484	689,9833984
2,288434505	691,7258301
2,297521591	693,4682617
2,299354076	696,953125
2,301186323	695,2106934
2,308564901	698,6954956
2,310446739	696,953125
2,315943718	698,6954956
2,317775965	700,4379272
2,319633007	698,6954956
2,323248148	703,0515747
2,332360029	704,7940063
2,337857008	706,536438
2,34345293	708,2788086
2,345285177	710,8924561
2,347117424	709,1500244
2,348949671	707,4075928
2,350757122	711,7636719
2,356254101	710,0212402
2,359918594	714,3773193
2,365341187	717,8621216
2,367148876	714,3773193
2,372695208	716,1196899
2,374527454	720,475769
2,376384497	718,7333374
2,383763313	721,3469849
2,38559556	723,0894165
2,387452602	720,475769
2,391067743	723,9606323
2,394757032	722,2182007
2,398347378	726,5742188
2,400179625	724,8318481
2,40750885	727,4454346
2,411272526	729,1878662
2,416794062	730,9302979
2,424098492	733,5439453
2,431378126	736,1575317
2,440514803	736,1575317
2,444253683	740,5136108
2,451607704	742,2560425
2,455272198	740,5136108
2,457104445	742,2560425
2,460744381	743,9984131
2,464384079	742,2560425
2,466191769	746,6120605
2,469831467	744,8696289
2,471688509	746,6120605
2,475353241	749,225708
2,477210283	747,4832764
2,479092121	749,225708
2,480949163	750,9681396
2,488278151	752,7105103
2,49739027	751,8393555
2,501029968	754,4529419
2,502862215	756,1953735
2,510191441	757,9378052
2,513955116	759,6802368
2,515787363	762,2938232
2,519451857	760,5514526
2,52673173	764,0362549
2,528563976	766,6499023
2,530421019	764,9074707
2,537651062	767,5211182
2,539508104	765,7786865
2,541340351	769,2635498
2,546961069	771,8771362
2,548768759	769,2635498
2,552433252	771,0059204
2,556097746	772,7483521
2,561569929	774,4907837
2,567017317	777,1044312
2,568849564	775,3619995
2,570657015	777,1044312
2,572514057	778,8468628
2,579917669	780,5892334
2,589103937	782,331665
2,598265409	784,9453125
2,605520248	786,6877441
2,607352495	788,4301758
2,612898827	790,1725464
2,616612911	787,55896
2,618445396	790,1725464
2,620277643	792,7861938
2,629389524	794,5286255
2,633054018	797,1422729
2,636669159	794,5286255
2,64221549	797,1422729
2,645880222	798,8846436
2,649619102	800,6270752
2,658780575	804,1119385
2,669675112	807,5967407
2,671507597	810,2103882
2,673339844	807,5967407
2,675196886	805,8543701
2,67886138	808,4679565
2,680743217	810,2103882
2,68260026	811,9528198
